tweet_id,user_text,historical_brand_response,label_intent,label_action,label_reason
10163,The packaging of my delivery was damaged and the device screen is cracked. ,Shipping delays can happen due to carrier issues. Please check the tracking link in your shipment confirmation email for the latest status from the carrier directly.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10284,All my iMessage conversations disappeared after restoring from backup. Very frustrated.,I'm so sorry to hear that. DM us your Apple ID email and we'll check if a recent iCloud backup exists that could be restored. Let's investigate all options before giving up.,data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10094,I was charged for an app subscription I thought I cancelled in Settings.,"Family Sharing issues can be tricky! Check our complete setup guide here: https://support.apple.com/en-us/HT201088. If the issue persists, DM us with your Apple ID email (never your password).",account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10178,What warranty is included with a new MacBook Pro purchase?,You can enable Dark Mode quickly! On Mac: Apple Menu → System Settings → Appearance → Dark. On iPhone: Settings → Display & Brightness → Dark. Let us know if you need more help!,general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10119,I was charged twice for the same iCloud storage upgrade this month. Need help today.,We're really sorry about the double charge! Our billing team will be able to issue a refund. Reach them through this secure form: https://support.apple.com/contact — select Billing.,account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10172,How do I enable dark mode on my Mac?,You can enable Dark Mode quickly! On Mac: Apple Menu → System Settings → Appearance → Dark. On iPhone: Settings → Display & Brightness → Dark. Let us know if you need more help!,general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10106,Someone made unauthorized purchases from my Apple ID. Help! Very frustrated.,"Family Sharing issues can be tricky! Check our complete setup guide here: https://support.apple.com/en-us/HT201088. If the issue persists, DM us with your Apple ID email (never your password).",account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10195,Does the iPad Air work with the Apple Smart Keyboard Folio? Need help today.,"iCloud+ includes Private Relay, Hide My Email, and HomeKit Secure Video in addition to extra storage. Here's a full comparison: https://support.apple.com/en-us/HT201318",general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10054,Bluetooth keeps disconnecting every few minutes from my car stereo.,"Let's get this fixed! Try a force restart first — here's how based on your model: https://support.apple.com/guide/iphone/force-restart-iphone-iph8903c3ee6/ios. If it persists, DM us!",software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10007,The speaker on my iPhone is muffled and barely audible.,"Oh no, that sounds frustrating! Our repair team can help. Check your warranty coverage and start a repair request at https://support.apple.com/repair — it only takes a few minutes.",device_hardware_issue,Escalate,"Intent 'device_hardware_issue' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10291,I need to recover voicemails that were accidentally deleted. Need help today.,"For stolen devices, immediately log in to icloud.com/find and use 'Erase iPhone' to protect your data. Then file a police report. DM us for next steps to secure your Apple ID.",data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10127,My order was supposed to arrive today but it now says delayed.,Shipping delays can happen due to carrier issues. Please check the tracking link in your shipment confirmation email for the latest status from the carrier directly.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10167,My order was cancelled automatically but my card was still charged. Please help ASAP.,Receiving the wrong item is not okay and we sincerely apologize! Please DM us your order number and a photo of what you received. We'll arrange an immediate exchange.,shipping_order,Auto-handle,Intent 'shipping_order' is a standard informational query resolvable with policy lookup and published resources.
10275,My Health app data is missing after I switched Apple IDs. ,Notes can be recovered if iCloud Sync is on. Log in to icloud.com and check the Notes app — they might be there. Also check the 'Recently Deleted' folder within Notes app itself.,data_loss_recovery,Escalate,"Intent 'data_loss_recovery' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10193,What warranty is included with a new MacBook Pro purchase? ,We have a detailed step-by-step guide for that! Check out this official support article: https://support.apple.com/en-us/HT200289 — it covers all iPhone models.,general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
10068,Photos app keeps crashing when I try to open my library. Need help today.,We've heard of this issue and our team is actively working on it. Check https://www.apple.com/support/systemstatus/ for any known service disruptions in the meantime.,software_bug,Auto-handle,Standard troubleshooting steps apply. Escalate if issue persists after initial response.
10079,iMessage isn't delivering messages to Android users anymore. Please help ASAP.,"Are you on the latest iOS? Head to Settings → General → Software Update. If an update is available, install it — it may contain a fix for this. Let us know if that helps!",software_bug,Escalate,Urgent software issue flagged — potential data or productivity impact. Routed to a specialist.
10089,I was charged twice for the same iCloud storage upgrade this month.,We're really sorry about the double charge! Our billing team will be able to issue a refund. Reach them through this secure form: https://support.apple.com/contact — select Billing.,account_billing,Escalate,"Intent 'account_billing' requires specialist review — involves physical hardware, financial data, or irreversible data concerns."
10251,FaceTime keeps saying 'Waiting for Activation' for weeks now. This is urgent.,Slow 5G can be caused by network congestion or carrier settings. Check our 5G FAQ here: https://support.apple.com/en-us/HT211299. Also consider contacting your carrier to verify 5G is active on your plan.,connectivity_issue,Auto-handle,Connectivity issues are typically resolved by documented troubleshooting steps provided in the response.
10197,Is AppleCare+ worth it for a new MacBook? Please help ASAP.,"Great news — yes! The iPhone 15 supports Emergency SOS via satellite. Here's how to use it: https://support.apple.com/en-us/HT213426. We hope you never need it, but it's good to know!",general_inquiry,Auto-handle,Intent 'general_inquiry' is a standard informational query resolvable with policy lookup and published resources.
